step,iter,elementID, GaussPointID,activation,stretch_prev,stretch,sigma_prev,sigma,delta_sigma_prev,delta_sigma 
0,2,1,0,1.000000e-02,1.000000e+00,9.999470e-01,0.000000e+00,7.813312e-04,0.000000e+00,2.559686e-02
0,2,1,1,1.000000e-02,1.000000e+00,9.999470e-01,0.000000e+00,7.813312e-04,0.000000e+00,2.559686e-02
0,2,1,2,1.000000e-02,1.000000e+00,9.999470e-01,0.000000e+00,7.813312e-04,0.000000e+00,2.559686e-02
0,2,1,3,1.000000e-02,1.000000e+00,9.999470e-01,0.000000e+00,7.813312e-04,0.000000e+00,2.559686e-02
1,2,1,0,2.000000e-02,9.999470e-01,9.998882e-01,7.813312e-04,8.895358e-04,2.559686e-02,4.763281e-02
1,2,1,1,2.000000e-02,9.999470e-01,9.998882e-01,7.813312e-04,8.895358e-04,2.559686e-02,4.763281e-02
1,2,1,2,2.000000e-02,9.999470e-01,9.998882e-01,7.813312e-04,8.895358e-04,2.559686e-02,4.763281e-02
1,2,1,3,2.000000e-02,9.999470e-01,9.998882e-01,7.813312e-04,8.895358e-04,2.559686e-02,4.763281e-02
2,2,1,0,3.000000e-02,9.998882e-01,9.998243e-01,8.895358e-04,9.916942e-04,4.763281e-02,6.547487e-02
2,2,1,1,3.000000e-02,9.998882e-01,9.998243e-01,8.895358e-04,9.916942e-04,4.763281e-02,6.547487e-02
2,2,1,2,3.000000e-02,9.998882e-01,9.998243e-01,8.895358e-04,9.916942e-04,4.763281e-02,6.547487e-02
2,2,1,3,3.000000e-02,9.998882e-01,9.998243e-01,8.895358e-04,9.916942e-04,4.763281e-02,6.547487e-02
3,2,1,0,4.000000e-02,9.998243e-01,9.997555e-01,9.916942e-04,1.092458e-03,6.547487e-02,8.255517e-02
3,2,1,1,4.000000e-02,9.998243e-01,9.997555e-01,9.916942e-04,1.092458e-03,6.547487e-02,8.255517e-02
3,2,1,2,4.000000e-02,9.998243e-01,9.997555e-01,9.916942e-04,1.092458e-03,6.547487e-02,8.255517e-02
3,2,1,3,4.000000e-02,9.998243e-01,9.997555e-01,9.916942e-04,1.092458e-03,6.547487e-02,8.255517e-02
4,2,1,0,5.000000e-02,9.997555e-01,9.996815e-01,1.092458e-03,1.199086e-03,8.255517e-02,1.001419e-01
4,2,1,1,5.000000e-02,9.997555e-01,9.996815e-01,1.092458e-03,1.199086e-03,8.255517e-02,1.001419e-01
4,2,1,2,5.000000e-02,9.997555e-01,9.996815e-01,1.092458e-03,1.199086e-03,8.255517e-02,1.001419e-01
4,2,1,3,5.000000e-02,9.997555e-01,9.996815e-01,1.092458e-03,1.199086e-03,8.255517e-02,1.001419e-01
5,2,1,0,6.000000e-02,9.996815e-01,9.996019e-01,1.199086e-03,1.315032e-03,1.001419e-01,1.188068e-01
5,2,1,1,6.000000e-02,9.996815e-01,9.996019e-01,1.199086e-03,1.315032e-03,1.001419e-01,1.188068e-01
5,2,1,2,6.000000e-02,9.996815e-01,9.996019e-01,1.199086e-03,1.315032e-03,1.001419e-01,1.188068e-01
5,2,1,3,6.000000e-02,9.996815e-01,9.996019e-01,1.199086e-03,1.315032e-03,1.001419e-01,1.188068e-01
6,3,1,0,7.000000e-02,9.996019e-01,9.995155e-01,1.315032e-03,1.442540e-03,1.188068e-01,1.388816e-01
6,3,1,1,7.000000e-02,9.996019e-01,9.995155e-01,1.315032e-03,1.442540e-03,1.188068e-01,1.388816e-01
6,3,1,2,7.000000e-02,9.996019e-01,9.995155e-01,1.315032e-03,1.442540e-03,1.188068e-01,1.388816e-01
6,3,1,3,7.000000e-02,9.996019e-01,9.995155e-01,1.315032e-03,1.442540e-03,1.188068e-01,1.388816e-01
7,3,1,0,8.000000e-02,9.995155e-01,9.994219e-01,1.442540e-03,1.583674e-03,1.388816e-01,1.606418e-01
7,3,1,1,8.000000e-02,9.995155e-01,9.994219e-01,1.442540e-03,1.583674e-03,1.388816e-01,1.606418e-01
7,3,1,2,8.000000e-02,9.995155e-01,9.994219e-01,1.442540e-03,1.583674e-03,1.388816e-01,1.606418e-01
7,3,1,3,8.000000e-02,9.995155e-01,9.994219e-01,1.442540e-03,1.583674e-03,1.388816e-01,1.606418e-01
8,3,1,0,9.000000e-02,9.994219e-01,9.993204e-01,1.583674e-03,1.740765e-03,1.606418e-01,1.843826e-01
8,3,1,1,9.000000e-02,9.994219e-01,9.993204e-01,1.583674e-03,1.740765e-03,1.606418e-01,1.843826e-01
8,3,1,2,9.000000e-02,9.994219e-01,9.993204e-01,1.583674e-03,1.740765e-03,1.606418e-01,1.843826e-01
8,3,1,3,9.000000e-02,9.994219e-01,9.993204e-01,1.583674e-03,1.740765e-03,1.606418e-01,1.843826e-01
9,3,1,0,1.000000e-01,9.993204e-01,9.992098e-01,1.740765e-03,1.916852e-03,1.843826e-01,2.104697e-01
9,3,1,1,1.000000e-01,9.993204e-01,9.992098e-01,1.740765e-03,1.916852e-03,1.843826e-01,2.104697e-01
9,3,1,2,1.000000e-01,9.993204e-01,9.992098e-01,1.740765e-03,1.916852e-03,1.843826e-01,2.104697e-01
9,3,1,3,1.000000e-01,9.993204e-01,9.992098e-01,1.740765e-03,1.916852e-03,1.843826e-01,2.104697e-01
10,3,1,0,1.100000e-01,9.992098e-01,9.990889e-01,1.916852e-03,2.116092e-03,2.104697e-01,2.394043e-01
10,3,1,1,1.100000e-01,9.992098e-01,9.990889e-01,1.916852e-03,2.116092e-03,2.104697e-01,2.394043e-01
10,3,1,2,1.100000e-01,9.992098e-01,9.990889e-01,1.916852e-03,2.116092e-03,2.104697e-01,2.394043e-01
10,3,1,3,1.100000e-01,9.992098e-01,9.990889e-01,1.916852e-03,2.116092e-03,2.104697e-01,2.394043e-01
11,3,1,0,1.200000e-01,9.990889e-01,9.989560e-01,2.116092e-03,2.344468e-03,2.394043e-01,2.718934e-01
11,3,1,1,1.200000e-01,9.990889e-01,9.989560e-01,2.116092e-03,2.344468e-03,2.394043e-01,2.718934e-01
11,3,1,2,1.200000e-01,9.990889e-01,9.989560e-01,2.116092e-03,2.344468e-03,2.394043e-01,2.718934e-01
11,3,1,3,1.200000e-01,9.990889e-01,9.989560e-01,2.116092e-03,2.344468e-03,2.394043e-01,2.718934e-01
12,3,1,0,1.300000e-01,9.989560e-01,9.988089e-01,2.344468e-03,2.610914e-03,2.718934e-01,3.089873e-01
12,3,1,1,1.300000e-01,9.989560e-01,9.988089e-01,2.344468e-03,2.610914e-03,2.718934e-01,3.089873e-01
12,3,1,2,1.300000e-01,9.989560e-01,9.988089e-01,2.344468e-03,2.610914e-03,2.718934e-01,3.089873e-01
12,3,1,3,1.300000e-01,9.989560e-01,9.988089e-01,2.344468e-03,2.610914e-03,2.718934e-01,3.089873e-01
13,3,1,0,1.400000e-01,9.988089e-01,9.986443e-01,2.610914e-03,2.929335e-03,3.089873e-01,3.522931e-01
13,3,1,1,1.400000e-01,9.988089e-01,9.986443e-01,2.610914e-03,2.929335e-03,3.089873e-01,3.522931e-01
13,3,1,2,1.400000e-01,9.988089e-01,9.986443e-01,2.610914e-03,2.929335e-03,3.089873e-01,3.522931e-01
13,3,1,3,1.400000e-01,9.988089e-01,9.986443e-01,2.610914e-03,2.929335e-03,3.089873e-01,3.522931e-01
14,3,1,0,1.500000e-01,9.986443e-01,9.984578e-01,2.929335e-03,3.322284e-03,3.522931e-01,4.043988e-01
14,3,1,1,1.500000e-01,9.986443e-01,9.984578e-01,2.929335e-03,3.322284e-03,3.522931e-01,4.043988e-01
14,3,1,2,1.500000e-01,9.986443e-01,9.984578e-01,2.929335e-03,3.322284e-03,3.522931e-01,4.043988e-01
14,3,1,3,1.500000e-01,9.986443e-01,9.984578e-01,2.929335e-03,3.322284e-03,3.522931e-01,4.043988e-01
15,3,1,0,1.600000e-01,9.984578e-01,9.982423e-01,3.322284e-03,3.828404e-03,4.043988e-01,4.697117e-01
15,3,1,1,1.600000e-01,9.984578e-01,9.982423e-01,3.322284e-03,3.828404e-03,4.043988e-01,4.697117e-01
15,3,1,2,1.600000e-01,9.984578e-01,9.982423e-01,3.322284e-03,3.828404e-03,4.043988e-01,4.697117e-01
15,3,1,3,1.600000e-01,9.984578e-01,9.982423e-01,3.322284e-03,3.828404e-03,4.043988e-01,4.697117e-01
16,3,1,0,1.700000e-01,9.982423e-01,9.979863e-01,3.828404e-03,4.516942e-03,4.697117e-01,5.561871e-01
16,3,1,1,1.700000e-01,9.982423e-01,9.979863e-01,3.828404e-03,4.516942e-03,4.697117e-01,5.561871e-01
16,3,1,2,1.700000e-01,9.982423e-01,9.979863e-01,3.828404e-03,4.516942e-03,4.697117e-01,5.561871e-01
16,3,1,3,1.700000e-01,9.982423e-01,9.979863e-01,3.828404e-03,4.516942e-03,4.697117e-01,5.561871e-01
17,3,1,0,1.800000e-01,9.979863e-01,9.976701e-01,4.516942e-03,5.512890e-03,5.561871e-01,6.788982e-01
